username;date;retweets;favorites;text;geo;mentions;hashtags;id;"permalink
";location
lvphillies08;2016-03-11 23:15;228;329;"""WOW..TONS OF NEW TRUMP SUPPORT TONIGHT #AlwaysTrump #MakeAmericaGreatAgain @Carolde @BrewPeterson https:// twitter.com/sm9056/status/ 708468608079364096 """;LAS VEGASLAND ;@Carolde @BrewPeterson;#AlwaysTrump #MakeAmericaGreatAgain;"""708551877458157568""";"https://twitter.com/lvphillies08/status/708551877458157568
";
LindaSuhler;2016-03-11 21:26;259;318;"""The truth is like a lion"; you dont have to defend it. Let it loose;" it will defend itself. #MakeAmericaGreatAgain pic.twitter.com/ucpM9Z2iWM""";;;#MakeAmericaGreatAgain
loudobbsnews;2016-03-11 21:01;1315;1793;"""The Demostrators in Chicago violated @realDonaldTrump rights of free speech...and showed all how important it is to #MakeAmericaGreatAgain""";New York, NY;@realDonaldTrump;#MakeAmericaGreatAgain;"""708518206001049600""";"https://twitter.com/loudobbsnews/status/708518206001049600
";(40.7305991, -73.9865811)
LindaSuhler;2016-03-11 20:55;331;273;"""Copy & share with everyone! And please VOTE #Trump2016 #MakeAmericaGreatAgain http:// tinyurl.com/zsuykcx pic.twitter.com/AFuzSgOtO2""";God Bless America!;;#Trump2016 #MakeAmericaGreatAgain;"""708516723956146176""";"https://twitter.com/LindaSuhler/status/708516723956146176
";(40.40383, -77.9464459)
xxdealwithitxxx;2016-03-11 19:14;282;253;"""Thanks for the endorsement, BLM and other SJW's of note. You just put Trump over the top. #MakeAmericaGreatAgain pic.twitter.com/4Q4i451Vae""";California, USA;;#MakeAmericaGreatAgain;"""708491205118590976""";"https://twitter.com/xxdealwithitxxx/status/708491205118590976
";(36.7014631, -118.7559973)
JohnGGalt;2016-03-11 18:22;465;431;"""Hey @BernieSanders are you going to disavow this violence from your supporters? #MakeAmericaGreatAgain pic.twitter.com/J3aLh7yZtb""";5,208—14,203 feet, Colorado;@BernieSanders;#MakeAmericaGreatAgain;"""708478150527692801""";"https://twitter.com/JohnGGalt/status/708478150527692801
";
RSBNetwork;2016-03-11 18:03;450;666;"""What happened tonight is a prime example of why we NEED #Trump . Our country is weak and dying. We need to #MakeAmericaGreatAgain""";Florida, USA;;#Trump #MakeAmericaGreatAgain;"""708473367658106880""";"https://twitter.com/RSBNetwork/status/708473367658106880
";(27.7567667, -81.4639834)
keksec__org;2016-03-11 18:00;145;393;"""@realDonaldTrump Don't let these Liberals get to you! #MakeAmericaGreatAgain pic.twitter.com/clnElI953x""";Everywhere;@realDonaldTrump;#MakeAmericaGreatAgain;"""708472743885467648""";"https://twitter.com/keksec__org/status/708472743885467648
";(53.8756494, 27.5301015)
TheRalphRetort;2016-03-11 17:49;47;97;"""Greta to Trump: ""Any regrets about running?"" ""No, we're going to #MakeAmericaGreatAgain .""""";Richmond, VA (via Memphis, 10);;#MakeAmericaGreatAgain;"""708469812221988865""";"https://twitter.com/TheRalphRetort/status/708469812221988865
";
ChristiChat;2016-03-11 17:32;326;457;"""Proud of the #TrumpRally supporters still holding your signs HIGH for the world to see. We won't back down. We'll #MakeAmericaGreatAgain""";I LOVE AMERICA❤️;;#TrumpRally #MakeAmericaGreatAgain;"""708465760029581313""";"https://twitter.com/ChristiChat/status/708465760029581313
";
Ricky_Vaughn99;2016-03-11 16:39;232;323;"""Aftet the anti-white thugs got the Trump rally cancelled Trump will gain five points in the polls. #MakeAmericaGreatAgain""";;;#MakeAmericaGreatAgain;"""708452285937020928""";"https://twitter.com/Ricky_Vaughn99/status/708452285937020928
";
realDonaldTrump;2016-03-11 13:25;3958;11786;"""Thank you St. Louis, Missouri! #MakeAmericaGreatAgain #Trump2016 https://www. facebook.com/DonaldTrump/po sts/10156744558065725:0 pic.twitter.com/MxVFHvHfS3""";New York, NY;;#MakeAmericaGreatAgain #Trump2016;"""708403542009253889""";"https://twitter.com/realDonaldTrump/status/708403542009253889
";(40.7305991, -73.9865811)
redsteeze;2016-03-11 11:32;21;40;"""There's no video! - Here's video That doesn't show anything - Here's one that does MAKEAMERICAGREATAGAIN""";New York City of Brooklyn;;;"""708375117366239232""";"https://twitter.com/redsteeze/status/708375117366239232
";(40.6501038, -73.9495822)
Rockprincess818;2016-03-11 11:19;110;133;"""THE BOSS #MakeAmericaGreatAgain #TrumpRally pic.twitter.com/Rhzm9d4H5l""";Los Angeles, CA;;#MakeAmericaGreatAgain #TrumpRally;"""708371690552582144""";"https://twitter.com/Rockprincess818/status/708371690552582144
";(34.0543942, -118.2439408)
MIAMIforTRUMP;2016-03-11 09:56;131;145;"""@realDonaldTrump has the biggest heart! Why isn't the media talking about this? #MakeAmericaGreatAgain #teamtrump pic.twitter.com/Z3DiLpPFAt""";Miami Beach, FL;@realDonaldTrump;#MakeAmericaGreatAgain #teamtrump;"""708350775295016960""";"https://twitter.com/MIAMIforTRUMP/status/708350775295016960
";(25.7881436, -80.1272704)
ShennaFoxMusic;2016-03-11 08:50;215;254;"""@realDonaldTrump @RealBenCarson ""You can do all things through him who gives you strength"" #MakeAmericaGreatAgain pic.twitter.com/epTlfEDzCq""";Glasgow, Scotland;@realDonaldTrump @RealBenCarson;#MakeAmericaGreatAgain;"""708334269186371585""";"https://twitter.com/ShennaFoxMusic/status/708334269186371585
";(55.856656, -4.2435816)
Rockprincess818;2016-03-11 07:48;47;75;"""And he's been front and center doing it since the day he announced his candidacy ...AMAZING! #MakeAmericaGreatAgain https:// twitter.com/steph93065/sta tus/708155071465283584 """;Los Angeles, CA;;#MakeAmericaGreatAgain;"""708318730028130304""";"https://twitter.com/Rockprincess818/status/708318730028130304
"
